Type;x;y;Best Fitness;Time
Sequential;512,00;404,00;-959,58;3195,78
Sequential;440,00;455,00;-936,43;3393,84
Sequential;512,00;404,00;-959,58;3295,08
Sequential;440,67;454,67;-936,43;3274,88
Sequential;512,00;404,00;-959,58;3390,50

OpenMP;512,00;404,00;-959,58;3269,02
OpenMP;512,00;404,00;-959,58;3293,19
OpenMP;512,00;404,00;-959,58;3424,46
OpenMP;-465,34;386,66;-895,56;3301,24
OpenMP;512,00;404,00;-959,58;3277,52

OpenMP;512,00;404,00;-959,58;793,22
OpenMP;512,00;404,00;-959,58;799,85
OpenMP;512,00;404,00;-959,58;736,75
OpenMP;512,00;404,00;-959,58;685,96
OpenMP;512,00;404,00;-959,58;778,11

OpenMP;440,00;455,00;-936,43;528,28
OpenMP;512,00;404,00;-959,58;395,15
OpenMP;512,00;404,00;-959,58;383,30
OpenMP;512,00;404,00;-959,58;332,36
OpenMP;512,00;404,00;-959,58;378,81

OpenMP;512,00;404,00;-959,58;290,78
OpenMP;512,00;404,00;-959,58;204,01
OpenMP;512,00;404,00;-959,58;191,15
OpenMP;-465,33;386,67;-895,56;189,01
OpenMP;512,00;404,00;-959,58;188,18

OpenMP;512,00;404,00;-959,58;177,10
OpenMP;440,00;455,00;-936,43;173,91
OpenMP;512,00;404,00;-959,58;173,74
OpenMP;512,00;404,00;-959,58;180,47
OpenMP;512,00;404,00;-959,58;169,99

MPI;512,00;404,00;-959,58;3487,59
MPI;512,00;404,00;-959,58;3426,47
MPI;512,00;404,00;-959,58;3338,96
MPI;-465,33;386,67;-895,56;3298,51
MPI;483,33;433,33;-952,51;3431,16

MPI;512,00;404,00;-959,58;770,17
MPI;484,00;433,00;-952,48;761,65
MPI;512,00;404,00;-959,58;744,88
MPI;512,00;404,00;-959,58;779,72
MPI;483,33;433,33;-952,51;761,20

MPI;483,33;433,33;-952,51;470,99
MPI;512,00;404,00;-959,58;460,63
MPI;512,00;404,00;-959,58;463,41
MPI;512,00;404,00;-959,58;495,01
MPI;512,00;404,00;-959,58;483,12

MPI;512,00;404,00;-959,58;378,97
MPI;512,00;404,00;-959,58;376,91
MPI;484,00;433,00;-952,48;374,22
MPI;512,00;404,00;-959,58;380,51
MPI;483,33;433,33;-952,51;377,12

MPI;512,00;404,00;-959,58;304,97
MPI;440,67;454,67;-936,43;296,15
MPI;512,00;404,00;-959,58;290,42
MPI;512,00;404,00;-959,58;291,41
MPI;512,00;404,00;-959,58;303,03

CUDA;512,00;404,23;-959,64;102,16
CUDA;512,00;404,23;-959,64;101,93
CUDA;-465,70;385,72;-894,58;101,99
CUDA;512,00;404,23;-959,64;102,24
CUDA;-465,70;385,71;-894,58;101,81

CUDA;-465,70;385,71;-894,58;11,29
CUDA;512,00;404,23;-959,64;11,35
CUDA;512,00;404,23;-959,64;11,31
CUDA;512,00;404,23;-959,64;11,27
CUDA;512,00;404,23;-959,64;11,31

CUDA;512,00;404,23;-959,64;12,31
CUDA;512,00;404,23;-959,64;12,19
CUDA;512,00;404,24;-959,64;12,42
CUDA;482,36;432,88;-956,92;12,28
CUDA;-465,69;385,72;-894,58;12,11

CUDA;512,00;404,24;-959,64;15,60
CUDA;512,00;404,23;-959,64;15,56
CUDA;512,00;404,23;-959,64;15,52
CUDA;512,00;404,23;-959,64;15,80
CUDA;512,00;404,23;-959,64;15,54

CUDA;512,00;404,23;-959,64;22,92
CUDA;512,00;404,23;-959,64;22,81
CUDA;512,00;404,23;-959,64;22,73
CUDA;512,00;404,23;-959,64;22,74
CUDA;512,00;404,23;-959,64;22,78

Sequential;3,14;3,14;-1,00;3387,77
Sequential;3,14;3,14;-1,00;3377,19
Sequential;3,14;3,14;-1,00;3252,77
Sequential;3,14;3,14;-1,00;3356,84
Sequential;3,14;3,14;-1,00;3421,47

OpenMP;3,14;3,14;-1,00;3279,79
OpenMP;3,14;3,14;-1,00;3296,85
OpenMP;3,14;3,14;-1,00;3411,08
OpenMP;3,14;3,14;-1,00;3301,03
OpenMP;3,14;3,14;-1,00;3281,55

OpenMP;3,14;3,14;-1,00;802,91
OpenMP;3,14;3,14;-1,00;774,83
OpenMP;3,14;3,14;-1,00;742,24
OpenMP;3,14;3,14;-1,00;772,07
OpenMP;3,14;3,14;-1,00;775,27

OpenMP;3,14;3,14;-1,00;504,99
OpenMP;3,14;3,14;-1,00;406,12
OpenMP;3,14;3,14;-1,00;436,36
OpenMP;3,14;3,14;-1,00;279,91
OpenMP;3,14;3,14;-1,00;254,19

OpenMP;3,14;3,14;-1,00;272,52
OpenMP;3,14;3,14;-1,00;215,07
OpenMP;3,14;3,14;-1,00;194,62
OpenMP;3,14;3,14;-1,00;217,96
OpenMP;3,14;3,14;-1,00;192,38

OpenMP;3,14;3,14;-1,00;181,65
OpenMP;3,14;3,14;-1,00;174,07
OpenMP;3,14;3,14;-1,00;173,47
OpenMP;3,14;3,14;-1,00;169,79
OpenMP;3,14;3,14;-1,00;200,86

MPI;3,14;3,14;-1,00;2568,19
MPI;3,14;3,14;-1,00;3883,74
MPI;3,14;3,14;-1,00;3296,95
MPI;3,14;3,14;-1,00;3319,45
MPI;3,14;3,14;-1,00;3424,94

MPI;3,14;3,14;-1,00;786,06
MPI;3,14;3,14;-1,00;787,91
MPI;3,14;3,14;-1,00;680,98
MPI;3,14;3,14;-1,00;807,94
MPI;3,14;3,14;-1,00;776,09

MPI;3,14;3,14;-1,00;495,27
MPI;3,14;3,14;-1,00;514,41
MPI;3,14;3,14;-1,00;403,29
MPI;3,14;3,14;-1,00;493,16
MPI;3,14;3,14;-1,00;501,94

MPI;3,14;3,14;-1,00;382,19
MPI;3,14;3,14;-1,00;382,76
MPI;3,14;3,14;-1,00;375,13
MPI;3,14;3,14;-1,00;380,79
MPI;3,14;3,14;-1,00;380,50

MPI;3,14;3,14;-1,00;304,03
MPI;3,14;3,14;-1,00;296,19
MPI;3,14;3,14;-1,00;294,01
MPI;3,14;3,14;-1,00;302,57
MPI;3,14;3,14;-1,00;328,77

CUDA;3,14;3,14;-1,00;108,90
CUDA;3,14;3,14;-1,00;108,68
CUDA;3,14;3,14;-1,00;108,45
CUDA;3,14;3,14;-1,00;108,27
CUDA;3,14;3,14;-1,00;108,43

CUDA;3,14;3,14;-1,00;15,27
CUDA;3,14;3,14;-1,00;15,59
CUDA;3,14;3,14;-1,00;15,66
CUDA;3,14;3,14;-1,00;15,28
CUDA;3,14;3,14;-1,00;15,35

CUDA;3,14;3,14;-1,00;15,95
CUDA;3,14;3,14;-1,00;15,91
CUDA;3,14;3,14;-1,00;15,81
CUDA;3,14;3,14;-1,00;15,92
CUDA;3,14;3,14;-1,00;15,98

CUDA;3,14;3,14;-1,00;18,47
CUDA;3,14;3,14;-1,00;18,42
CUDA;3,14;3,14;-1,00;18,38
CUDA;3,14;3,14;-1,00;18,56
CUDA;3,14;3,14;-1,00;18,55

CUDA;3,14;3,14;-1,00;26,48
CUDA;3,14;3,14;-1,00;26,43
CUDA;3,14;3,14;-1,00;26,37
CUDA;3,14;3,14;-1,00;26,99
CUDA;3,14;3,14;-1,00;26,34
